Source sentence,Answer sentence
"ketika ditanyai mengenai kemungkinan organisasi s. h. i. e. l. d menyadari kehadiran para vigilante ( penegak hukum non-resmi ) dari hells kitchen -- sebuah tempat betulan di kota new york yang menjadi set lokasi serial daredevil , jessica jones , the punisher , luke cage , dan iron fist- - , kepala divisi televisi jeph loeb menjawab , pertanyaan yang bagus .",luke cage adalah entitas produk .
"ketika ditanyai mengenai kemungkinan organisasi s. h. i. e. l. d menyadari kehadiran para vigilante ( penegak hukum non-resmi ) dari hells kitchen -- sebuah tempat betulan di kota new york yang menjadi set lokasi serial daredevil , jessica jones , the punisher , luke cage , dan iron fist- - , kepala divisi televisi jeph loeb menjawab , pertanyaan yang bagus .",iron fist- adalah entitas produk .
"ketika ditanyai mengenai kemungkinan organisasi s. h. i. e. l. d menyadari kehadiran para vigilante ( penegak hukum non-resmi ) dari hells kitchen -- sebuah tempat betulan di kota new york yang menjadi set lokasi serial daredevil , jessica jones , the punisher , luke cage , dan iron fist- - , kepala divisi televisi jeph loeb menjawab , pertanyaan yang bagus .",jeph loeb adalah entitas tokoh .
"lebih dari 500 toko retail dan 2000 merchant telah mendaftar untuk menjadi official merchant bandung great sale 2017 .",bandung great sale 2017 adalah entitas event .
"dia mengulang peran tersebut dalam sekuel film the godfather ii dan the godfather iii .",the godfather ii adalah entitas produk .
"dia mengulang peran tersebut dalam sekuel film the godfather ii dan the godfather iii .",the godfather iii adalah entitas produk .
"namun , hingga saat ini belum ada sidang kabinet yang membahas hal ini sehingga belum ada kesimpulan apakah rencana pencabutan subsidi tetap akan berjalan atau diundur pelaksanaannya . sementara-itu , dengan adanya pencabutan subsidi ini maka akan turut memperbaiki arus kas pln .",pln adalah entitas produk .
"demikian data yang dilansir nme .",nme adalah entitas produk .
"pada tahap verifikasi awal sebelumnya , kpu meloloskan 34 parpol dari total 46 parpol yang mendaftar untuk diverifikasi sebagai peserta pemilu 2014 .",pemilu 2014 adalah entitas event .
"komisi pemberantasan korupsi (kpk) menetapkan bupati ngajuk taufiqurrahman sebagai tersangka kasus korupsi dan gratifikasi .",ngajuk adalah entitas lokasi .
"komisi pemberantasan korupsi (kpk) menetapkan bupati ngajuk taufiqurrahman sebagai tersangka kasus korupsi dan gratifikasi .",taufiqurrahman adalah entitas tokoh .
"penyelidikan telah mendengar kematian berkelompok yang terjadi di sekitar timur dan barat arnhem , katherine dan daerah sekitar alice springs .",timur adalah entitas lokasi .
"penyelidikan telah mendengar kematian berkelompok yang terjadi di sekitar timur dan barat arnhem , katherine dan daerah sekitar alice springs .",barat arnhem adalah entitas lokasi .
"penyelidikan telah mendengar kematian berkelompok yang terjadi di sekitar timur dan barat arnhem , katherine dan daerah sekitar alice springs .",katherine adalah entitas lokasi .
"penyelidikan telah mendengar kematian berkelompok yang terjadi di sekitar timur dan barat arnhem , katherine dan daerah sekitar alice springs .",alice springs adalah entitas lokasi .
"indonesia kali terakhir merengkuh gelar juara piala thomas pada 2002 atau 14 tahun silam .",indonesia adalah entitas lokasi .
"indonesia kali terakhir merengkuh gelar juara piala thomas pada 2002 atau 14 tahun silam .",piala thomas adalah entitas event .
"dirinya juga sempat mempertanyakan motivasi testimoni hasto tentang adanya dugaan pelanggaran transaksi politik ketua kpk abraham samad dengan elite pdi perjuangan .",hasto adalah entitas tokoh .
"dirinya juga sempat mempertanyakan motivasi testimoni hasto tentang adanya dugaan pelanggaran transaksi politik ketua kpk abraham samad dengan elite pdi perjuangan .",abraham samad adalah entitas tokoh .
"menurut anda apa perbedaan ahok dengan kepemimpinan pelaksana tugas ( plt ) gubernur yang sekarang?enggak bisa dibedakan dan bukan juga untuk dibedakan .",ahok adalah entitas tokoh .
"anda bisa memesan croissant dengan isian seperti salmon , keju , tuna dan daging ayam .",croissant adalah entitas makanan .
"anda bisa memesan croissant dengan isian seperti salmon , keju , tuna dan daging ayam .",salmon adalah entitas makanan .
"anda bisa memesan croissant dengan isian seperti salmon , keju , tuna dan daging ayam .",keju adalah entitas makanan .
"anda bisa memesan croissant dengan isian seperti salmon , keju , tuna dan daging ayam .",tuna adalah entitas makanan .
"anda bisa memesan croissant dengan isian seperti salmon , keju , tuna dan daging ayam .",daging ayam adalah entitas makanan .
"" kemarin , presiden dan wapres terus bekerja maraton hingga tengah-malam di istana jogja . siang ini presiden akan langsung bekerja untuk melanjutkan apa yang ia belum selesaikan , " ujarnya .",istana jogja adalah entitas lokasi .
"menurut aku , kalau kita jadi warga yang baik , teman-teman kita akan mengikuti , diikuti teman-teman mereka , sehingga kita bisa merawat indonesia dari dalam , tutup raisa .",indonesia adalah entitas lokasi .
"menurut aku , kalau kita jadi warga yang baik , teman-teman kita akan mengikuti , diikuti teman-teman mereka , sehingga kita bisa merawat indonesia dari dalam , tutup raisa .",raisa adalah entitas tokoh .
"uniknya , pakaian yang diperagakan di panggung titian merupakan seragam para pramugari dan pramugara yang dirancang khusus oleh desainer laurence xu .",laurence xu adalah entitas tokoh .
"ledakan lain nya terjadi di pos polisi di sukhumvit soin 62 .",sukhumvit soin 62 adalah entitas lokasi .
"lebih mencurigakan lagi , di pojok lantai dua yang berhadapan dengan pintu gerbang tempat kos itu dipasang dua kamera cctv .",cctv adalah entitas produk .
""' pt kereta api indonesia ( kai ) menggelar program kai serba 70 .",pt kereta api indonesia adalah entitas produk .
""' pt kereta api indonesia ( kai ) menggelar program kai serba 70 .",kai adalah entitas produk .
""' pt kereta api indonesia ( kai ) menggelar program kai serba 70 .",kai serba 70 adalah entitas event .
"dengan hadirnya dre 2 , kami ingin terus memberikan akses kepada risers lokal untuk mengenal lebih dalam kebudayaan daerahnya , serta mengapresiasi hasil karya pahlawan lokal dengan mewujudkan mimpi mereka , terang christian gandawinata , head of marketing datsun indonesia .",dre 2 adalah entitas event .
"dengan hadirnya dre 2 , kami ingin terus memberikan akses kepada risers lokal untuk mengenal lebih dalam kebudayaan daerahnya , serta mengapresiasi hasil karya pahlawan lokal dengan mewujudkan mimpi mereka , terang christian gandawinata , head of marketing datsun indonesia .",christian gandawinata adalah entitas tokoh .
"dengan hadirnya dre 2 , kami ingin terus memberikan akses kepada risers lokal untuk mengenal lebih dalam kebudayaan daerahnya , serta mengapresiasi hasil karya pahlawan lokal dengan mewujudkan mimpi mereka , terang christian gandawinata , head of marketing datsun indonesia .",datsun indonesia adalah entitas produk .
"nurhayati mengatakan , hampir sebagian besar kader demokrat , termasuk dirinya , masuk menjadi kader demokrat karena faktor sby .",nurhayati adalah entitas tokoh .
"nurhayati mengatakan , hampir sebagian besar kader demokrat , termasuk dirinya , masuk menjadi kader demokrat karena faktor sby .",sby adalah entitas tokoh .
"sebagai jenama yang identik dengan produsen mobil sport dan balap eksklusif , porsche mendorong para gamers untuk berkompetisi di permainan ini bersama teman dan keluarga serta membagi nilai perlombaan ke media sosial .",porsche adalah entitas produk .
"karena merasa tidak pas dengan terdengar aneh dengan nuansa lagu-lagu yang ada dalam album , keduanya boyongan ke bali dan yogya .",bali adalah entitas lokasi .
"karena merasa tidak pas dengan terdengar aneh dengan nuansa lagu-lagu yang ada dalam album , keduanya boyongan ke bali dan yogya .",yogya adalah entitas lokasi .
"artinya , mandzukic ( 30 tahun ) menjadi pemain pertama kroasia yang mencetak tri gol sejak bosko balaban melakukannya dalam kemenangan 2018/04/01 atas latvia pada 2001 .",mandzukic adalah entitas tokoh .
"artinya , mandzukic ( 30 tahun ) menjadi pemain pertama kroasia yang mencetak tri gol sejak bosko balaban melakukannya dalam kemenangan 2018/04/01 atas latvia pada 2001 .",kroasia adalah entitas produk .
"artinya , mandzukic ( 30 tahun ) menjadi pemain pertama kroasia yang mencetak tri gol sejak bosko balaban melakukannya dalam kemenangan 2018/04/01 atas latvia pada 2001 .",latvia adalah entitas produk .
"bom jakarta - kronologi serangan dan ledakan bom thamrin jakarta yang meninggalkan duka mendalam bagi semua mata yang menyaksikannya .",jakarta adalah entitas lokasi .
"jogja terkenal sebagai kota pelajar , tak heran jika banyak anak muda yang suka mencari tempat-tempat unik sekaligus nyaman untuk berkumpul bersama sahabat .",jogja adalah entitas lokasi .
"tujuan utama dari hari kanker sedunia adalah untuk menurunkan angka kesakitan dan kematian akibat kanker secara signifikan pada tahun 2020 .",hari kanker sedunia adalah entitas event .
"ans syahrul alimi didampingi project director jogjarockarta , bakkar wibowo memberikan keterangan pers mengenai hal ini di hard rock cafe , pacific place , jakarta , rabu 30 agustus 2017 ,",ans syahrul alimi adalah entitas tokoh .
"ans syahrul alimi didampingi project director jogjarockarta , bakkar wibowo memberikan keterangan pers mengenai hal ini di hard rock cafe , pacific place , jakarta , rabu 30 agustus 2017 ,",jogjarockarta adalah entitas event .
"ans syahrul alimi didampingi project director jogjarockarta , bakkar wibowo memberikan keterangan pers mengenai hal ini di hard rock cafe , pacific place , jakarta , rabu 30 agustus 2017 ,",bakkar wibowo adalah entitas tokoh .
"ans syahrul alimi didampingi project director jogjarockarta , bakkar wibowo memberikan keterangan pers mengenai hal ini di hard rock cafe , pacific place , jakarta , rabu 30 agustus 2017 ,",hard rock cafe adalah entitas lokasi .
"ans syahrul alimi didampingi project director jogjarockarta , bakkar wibowo memberikan keterangan pers mengenai hal ini di hard rock cafe , pacific place , jakarta , rabu 30 agustus 2017 ,",pacific place adalah entitas lokasi .
"ans syahrul alimi didampingi project director jogjarockarta , bakkar wibowo memberikan keterangan pers mengenai hal ini di hard rock cafe , pacific place , jakarta , rabu 30 agustus 2017 ,",jakarta adalah entitas lokasi .
"jakarta - - micom : banyak rintangan yang menghalangi terwujudnya landasan bersama bagi penyelesaian konflik antara palestina dan israel",jakarta adalah entitas lokasi .
"jakarta - - micom : banyak rintangan yang menghalangi terwujudnya landasan bersama bagi penyelesaian konflik antara palestina dan israel",micom adalah entitas produk .
"jakarta - - micom : banyak rintangan yang menghalangi terwujudnya landasan bersama bagi penyelesaian konflik antara palestina dan israel",palestina adalah entitas lokasi .
"andromax r2 & amp ; e2 merupakan wujud keseriusan kami dalam menggarap pasar ponsel entry - level di indonesia . di-samping-itu , kami berharap langkah kami dalam menyematkan fitur volte pada kedua ponsel pintar ini dapat mempercepat penetrasi 4g lte dan mendukung transformasi digital di indonesia sehingga dapat mewujudkan ekosistem digital yang tidak kalah dengan negara lain , ujar sukaca purwokardjono , division head smartphone business pt smartfren telecom .",andromax r2 adalah entitas produk .
"andromax r2 & amp ; e2 merupakan wujud keseriusan kami dalam menggarap pasar ponsel entry - level di indonesia . di-samping-itu , kami berharap langkah kami dalam menyematkan fitur volte pada kedua ponsel pintar ini dapat mempercepat penetrasi 4g lte dan mendukung transformasi digital di indonesia sehingga dapat mewujudkan ekosistem digital yang tidak kalah dengan negara lain , ujar sukaca purwokardjono , division head smartphone business pt smartfren telecom .",e2 adalah entitas produk .
"andromax r2 & amp ; e2 merupakan wujud keseriusan kami dalam menggarap pasar ponsel entry - level di indonesia . di-samping-itu , kami berharap langkah kami dalam menyematkan fitur volte pada kedua ponsel pintar ini dapat mempercepat penetrasi 4g lte dan mendukung transformasi digital di indonesia sehingga dapat mewujudkan ekosistem digital yang tidak kalah dengan negara lain , ujar sukaca purwokardjono , division head smartphone business pt smartfren telecom .",indonesia adalah entitas lokasi .
"andromax r2 & amp ; e2 merupakan wujud keseriusan kami dalam menggarap pasar ponsel entry - level di indonesia . di-samping-itu , kami berharap langkah kami dalam menyematkan fitur volte pada kedua ponsel pintar ini dapat mempercepat penetrasi 4g lte dan mendukung transformasi digital di indonesia sehingga dapat mewujudkan ekosistem digital yang tidak kalah dengan negara lain , ujar sukaca purwokardjono , division head smartphone business pt smartfren telecom .",indonesia adalah entitas lokasi .
"andromax r2 & amp ; e2 merupakan wujud keseriusan kami dalam menggarap pasar ponsel entry - level di indonesia . di-samping-itu , kami berharap langkah kami dalam menyematkan fitur volte pada kedua ponsel pintar ini dapat mempercepat penetrasi 4g lte dan mendukung transformasi digital di indonesia sehingga dapat mewujudkan ekosistem digital yang tidak kalah dengan negara lain , ujar sukaca purwokardjono , division head smartphone business pt smartfren telecom .",sukaca purwokardjono adalah entitas tokoh .
"andromax r2 & amp ; e2 merupakan wujud keseriusan kami dalam menggarap pasar ponsel entry - level di indonesia . di-samping-itu , kami berharap langkah kami dalam menyematkan fitur volte pada kedua ponsel pintar ini dapat mempercepat penetrasi 4g lte dan mendukung transformasi digital di indonesia sehingga dapat mewujudkan ekosistem digital yang tidak kalah dengan negara lain , ujar sukaca purwokardjono , division head smartphone business pt smartfren telecom .",pt smartfren telecom adalah entitas produk .
"wilayah timur adalah bali , nusa tenggara barat , nusa tenggara timur , sulawesi selatan , sulawesi tengah , sulawesi tenggara , sulawesi utara , gorontalo , sulawesi barat , maluku , maluku utara , papua , dan papua barat .",bali adalah entitas lokasi .
"wilayah timur adalah bali , nusa tenggara barat , nusa tenggara timur , sulawesi selatan , sulawesi tengah , sulawesi tenggara , sulawesi utara , gorontalo , sulawesi barat , maluku , maluku utara , papua , dan papua barat .",nusa tenggara barat adalah entitas lokasi .
"wilayah timur adalah bali , nusa tenggara barat , nusa tenggara timur , sulawesi selatan , sulawesi tengah , sulawesi tenggara , sulawesi utara , gorontalo , sulawesi barat , maluku , maluku utara , papua , dan papua barat .",nusa tenggara timur adalah entitas lokasi .
"wilayah timur adalah bali , nusa tenggara barat , nusa tenggara timur , sulawesi selatan , sulawesi tengah , sulawesi tenggara , sulawesi utara , gorontalo , sulawesi barat , maluku , maluku utara , papua , dan papua barat .",sulawesi selatan adalah entitas lokasi .
"wilayah timur adalah bali , nusa tenggara barat , nusa tenggara timur , sulawesi selatan , sulawesi tengah , sulawesi tenggara , sulawesi utara , gorontalo , sulawesi barat , maluku , maluku utara , papua , dan papua barat .",sulawesi tengah adalah entitas lokasi .
"wilayah timur adalah bali , nusa tenggara barat , nusa tenggara timur , sulawesi selatan , sulawesi tengah , sulawesi tenggara , sulawesi utara , gorontalo , sulawesi barat , maluku , maluku utara , papua , dan papua barat .",sulawesi tenggara adalah entitas lokasi .
"wilayah timur adalah bali , nusa tenggara barat , nusa tenggara timur , sulawesi selatan , sulawesi tengah , sulawesi tenggara , sulawesi utara , gorontalo , sulawesi barat , maluku , maluku utara , papua , dan papua barat .",sulawesi utara adalah entitas lokasi .
"wilayah timur adalah bali , nusa tenggara barat , nusa tenggara timur , sulawesi selatan , sulawesi tengah , sulawesi tenggara , sulawesi utara , gorontalo , sulawesi barat , maluku , maluku utara , papua , dan papua barat .",gorontalo adalah entitas lokasi .
"wilayah timur adalah bali , nusa tenggara barat , nusa tenggara timur , sulawesi selatan , sulawesi tengah , sulawesi tenggara , sulawesi utara , gorontalo , sulawesi barat , maluku , maluku utara , papua , dan papua barat .",sulawesi barat adalah entitas lokasi .
"wilayah timur adalah bali , nusa tenggara barat , nusa tenggara timur , sulawesi selatan , sulawesi tengah , sulawesi tenggara , sulawesi utara , gorontalo , sulawesi barat , maluku , maluku utara , papua , dan papua barat .",maluku adalah entitas lokasi .
"wilayah timur adalah bali , nusa tenggara barat , nusa tenggara timur , sulawesi selatan , sulawesi tengah , sulawesi tenggara , sulawesi utara , gorontalo , sulawesi barat , maluku , maluku utara , papua , dan papua barat .",maluku utara adalah entitas lokasi .
"wilayah timur adalah bali , nusa tenggara barat , nusa tenggara timur , sulawesi selatan , sulawesi tengah , sulawesi tenggara , sulawesi utara , gorontalo , sulawesi barat , maluku , maluku utara , papua , dan papua barat .",papua adalah entitas lokasi .
"wilayah timur adalah bali , nusa tenggara barat , nusa tenggara timur , sulawesi selatan , sulawesi tengah , sulawesi tenggara , sulawesi utara , gorontalo , sulawesi barat , maluku , maluku utara , papua , dan papua barat .",papua barat adalah entitas lokasi .
"anis menuturkan pks telah menyampaikan surat resmi ke sby sebelum mengambil sikap resmi soal kenaikan harga bbm . pks siap menghadapi konsekuensi apapun .",anis adalah entitas tokoh .
"anis menuturkan pks telah menyampaikan surat resmi ke sby sebelum mengambil sikap resmi soal kenaikan harga bbm . pks siap menghadapi konsekuensi apapun .",sby adalah entitas tokoh .
"" keputusan resmi saja belum dari presiden . jadi belum bicara menteri . itu terserah presiden . presiden mempunyai hak untuk memilih siapa pembantunya, " kata saan .",saan adalah entitas tokoh .
"karena , freeport - mcmoran , perusahaan induk fi , yang masuk bursa di new york stock exchange saat ini sedang anjlok harga sahamnya .",freeport adalah entitas produk .
"karena , freeport - mcmoran , perusahaan induk fi , yang masuk bursa di new york stock exchange saat ini sedang anjlok harga sahamnya .",mcmoran adalah entitas produk .
"karena , freeport - mcmoran , perusahaan induk fi , yang masuk bursa di new york stock exchange saat ini sedang anjlok harga sahamnya .",fi adalah entitas produk .
"karena , freeport - mcmoran , perusahaan induk fi , yang masuk bursa di new york stock exchange saat ini sedang anjlok harga sahamnya .",new york stock exchange adalah entitas lokasi .
"presiden geoge w. bush membuat sebuah kunjungan kejutan ke irak berharap dapat meningkatkan dukungan .",geoge w. bush adalah entitas tokoh .
"presiden geoge w. bush membuat sebuah kunjungan kejutan ke irak berharap dapat meningkatkan dukungan .",irak adalah entitas lokasi .
"atlet-atlet dari lima negara itu akan tampil pada test event asian games akan berlangsung 8-15 februari 2018 .",test event asian games adalah entitas event .
"ia mengatakan bahwa ia terinspirasi oleh gaun putih bao tranchi yang dikenakan gigi hadid , sangat cocok untuk potongan rambut pendek yang seksi .",bao tranchi adalah entitas tokoh .
"ia mengatakan bahwa ia terinspirasi oleh gaun putih bao tranchi yang dikenakan gigi hadid , sangat cocok untuk potongan rambut pendek yang seksi .",gigi hadid adalah entitas tokoh .
"pt pertamina (persero) menyatakan tidak ada kenaikan harga seluruh jenis bbm yang dipasarkan perusahaan .",pt pertamina (persero) adalah entitas produk .
"menurut seventeen , tato rambut ini akan menjadi tren yang diminati sepanjang tahun .",seventeen adalah entitas produk .
"pemerintah regional kurdistan juga mengungkapkan keterkejutan dan ketidaksetujuan mereka atas serangan tersebut .",kurdistan adalah entitas lokasi .
"orang italia , yang sebelumnya telah mengelola real madrid , ac milan , juventus dan roma ini , akan memperhitungkan pekerjaan inggris ini sebagai puncak dari karir nya menurut sumber yang dekat dengan nya dan siap untuk membuka pembicaraan .",italia adalah entitas lokasi .
"orang italia , yang sebelumnya telah mengelola real madrid , ac milan , juventus dan roma ini , akan memperhitungkan pekerjaan inggris ini sebagai puncak dari karir nya menurut sumber yang dekat dengan nya dan siap untuk membuka pembicaraan .",inggris adalah entitas lokasi .
"partai demokrat merasa terusik dengan tudingan anggota pansus hak angket bank century , akbar faisal , yang menyebut salah-satu nasabah century , ar , sebagai salah-satu penyumbang pasangan sby - boediono pada pilpres 2009 .",bank century adalah entitas produk .
"partai demokrat merasa terusik dengan tudingan anggota pansus hak angket bank century , akbar faisal , yang menyebut salah-satu nasabah century , ar , sebagai salah-satu penyumbang pasangan sby - boediono pada pilpres 2009 .",akbar faisal adalah entitas tokoh .
"partai demokrat merasa terusik dengan tudingan anggota pansus hak angket bank century , akbar faisal , yang menyebut salah-satu nasabah century , ar , sebagai salah-satu penyumbang pasangan sby - boediono pada pilpres 2009 .",century adalah entitas produk .
"partai demokrat merasa terusik dengan tudingan anggota pansus hak angket bank century , akbar faisal , yang menyebut salah-satu nasabah century , ar , sebagai salah-satu penyumbang pasangan sby - boediono pada pilpres 2009 .",ar adalah entitas tokoh .
"partai demokrat merasa terusik dengan tudingan anggota pansus hak angket bank century , akbar faisal , yang menyebut salah-satu nasabah century , ar , sebagai salah-satu penyumbang pasangan sby - boediono pada pilpres 2009 .",sby adalah entitas tokoh .
"partai demokrat merasa terusik dengan tudingan anggota pansus hak angket bank century , akbar faisal , yang menyebut salah-satu nasabah century , ar , sebagai salah-satu penyumbang pasangan sby - boediono pada pilpres 2009 .",boediono adalah entitas tokoh .
"partai demokrat merasa terusik dengan tudingan anggota pansus hak angket bank century , akbar faisal , yang menyebut salah-satu nasabah century , ar , sebagai salah-satu penyumbang pasangan sby - boediono pada pilpres 2009 .",pilpres 2009 adalah entitas event .
"serangan balik mematikanpada 3rd quarter pertandingan tadi , cavaliers mencatat 14-0 lewat serangan balik .",cavaliers adalah entitas produk .
"" fraksi pkb mengajak sekaligus mendorong semua elemen bangsa untuk melakukan gerakan nasional menuju pileg dan pilpres 2014 yang bersih , jujur , adil , bermartabat dan bebas dari kecurangan , " katanya .",pileg adalah entitas event .
"" fraksi pkb mengajak sekaligus mendorong semua elemen bangsa untuk melakukan gerakan nasional menuju pileg dan pilpres 2014 yang bersih , jujur , adil , bermartabat dan bebas dari kecurangan , " katanya .",pilpres adalah entitas event .
"chili , membentuk start-up chile di tahun 2010 untuk mendorong pengusaha muda mengembangkan usaha baru di luar industri pertambangan dan perikanan ( khususnya ikan salmon ) .",chili adalah entitas produk .
"gol saul , yang menurut gosip sedang diincar barcelona , tentu mengejutkan bagi sebagian pemain bayern .",saul adalah entitas tokoh .
"gol saul , yang menurut gosip sedang diincar barcelona , tentu mengejutkan bagi sebagian pemain bayern .",barcelona adalah entitas produk .
"gol saul , yang menurut gosip sedang diincar barcelona , tentu mengejutkan bagi sebagian pemain bayern .",bayern adalah entitas produk .
"putin dan para pejabat rusia lain nya secara keras menyangkal segala informasi sebelumnya tentang rencana untuk membunuh litvinenko .",putin adalah entitas tokoh .
"putin dan para pejabat rusia lain nya secara keras menyangkal segala informasi sebelumnya tentang rencana untuk membunuh litvinenko .",rusia adalah entitas tokoh .
"putin dan para pejabat rusia lain nya secara keras menyangkal segala informasi sebelumnya tentang rencana untuk membunuh litvinenko .",litvinenko adalah entitas tokoh .
"tanya puan seperti dinukil merdeka.com .",puan adalah entitas tokoh .
"tanya puan seperti dinukil merdeka.com .",merdeka.com adalah entitas produk .
"pudding jelly susu , selain bisa dihidangkan sebagai kudapan yang lezat , dikala terik siang .",pudding jelly susu adalah entitas makanan .
"kante menjadi penahan dan sekaligus perebut bola untuk diserahkan kepada danny drinkwater atau sjinji okazaki . setelah-itu bola dioper kepada riyad mahrez dan berakhir pada vardy .",danny drinkwater adalah entitas tokoh .
"kante menjadi penahan dan sekaligus perebut bola untuk diserahkan kepada danny drinkwater atau sjinji okazaki . setelah-itu bola dioper kepada riyad mahrez dan berakhir pada vardy .",sjinji okazaki adalah entitas tokoh .
"kante menjadi penahan dan sekaligus perebut bola untuk diserahkan kepada danny drinkwater atau sjinji okazaki . setelah-itu bola dioper kepada riyad mahrez dan berakhir pada vardy .",riyad mahrez adalah entitas tokoh .
"kante menjadi penahan dan sekaligus perebut bola untuk diserahkan kepada danny drinkwater atau sjinji okazaki . setelah-itu bola dioper kepada riyad mahrez dan berakhir pada vardy .",vardy adalah entitas tokoh .
"memang bukan gawai pertama , karena apple watch sudah terlebih dahulu mengadopsi teknologi serupa dengan nama force touch .",apple watch adalah entitas produk .
"lebih lanjut , fajar memastikan bahwa dilan akan tetap diperankan oleh iqbaal ramadhan dan milea juga akan tetap diperankan oleh vanesha prescilla .",fajar adalah entitas tokoh .
"lebih lanjut , fajar memastikan bahwa dilan akan tetap diperankan oleh iqbaal ramadhan dan milea juga akan tetap diperankan oleh vanesha prescilla .",dilan adalah entitas tokoh .
"lebih lanjut , fajar memastikan bahwa dilan akan tetap diperankan oleh iqbaal ramadhan dan milea juga akan tetap diperankan oleh vanesha prescilla .",iqbaal ramadhan adalah entitas tokoh .
"lebih lanjut , fajar memastikan bahwa dilan akan tetap diperankan oleh iqbaal ramadhan dan milea juga akan tetap diperankan oleh vanesha prescilla .",milea adalah entitas tokoh .
"lebih lanjut , fajar memastikan bahwa dilan akan tetap diperankan oleh iqbaal ramadhan dan milea juga akan tetap diperankan oleh vanesha prescilla .",vanesha prescilla adalah entitas tokoh .
"menurut official charts , album adele bukan-hanya mengalahkan produk game fifa 16 , tapi juga game call of duty : black ops iii .",adele adalah entitas tokoh .
"menurut official charts , album adele bukan-hanya mengalahkan produk game fifa 16 , tapi juga game call of duty : black ops iii .",fifa 16 adalah entitas produk .
"menurut official charts , album adele bukan-hanya mengalahkan produk game fifa 16 , tapi juga game call of duty : black ops iii .",call of duty : black ops iii adalah entitas produk .
"mudik lebaran di indonesia selalu identik dengan kemacetan yang menggila .",mudik lebaran adalah entitas event .
"mudik lebaran di indonesia selalu identik dengan kemacetan yang menggila .",indonesia adalah entitas lokasi .
