source sentence,answer sentence
""" we do n't support any such recommendation because we do n't see any grounds for it , "" the commission 's chief spokesman nikolaus van der pas told a news briefing .",'s chief spokesman nikolaus is not a named entity
""" we do n't support any such recommendation because we do n't see any grounds for it , "" the commission 's chief spokesman nikolaus van der pas told a news briefing .",a is not a named entity
he said further scientific study was required and if it was found that action was needed it should be taken by the european union .,european union is an organization entity
"he said a proposal last month by eu farm commissioner franz fischler to ban sheep brains , spleens and spinal cords from the human and animal food chains was a highly specific and precautionary move to protect human health .",eu is an organization entity
"he said a proposal last month by eu farm commissioner franz fischler to ban sheep brains , spleens and spinal cords from the human and animal food chains was a highly specific and precautionary move to protect human health .",franz fischler is a person entity
"he said a proposal last month by eu farm commissioner franz fischler to ban sheep brains , spleens and spinal cords from the human and animal food chains was a highly specific and precautionary move to protect human health .",was is not a named entity
"he said a proposal last month by eu farm commissioner franz fischler to ban sheep brains , spleens and spinal cords from the human and animal food chains was a highly specific and precautionary move to protect human health .",was a is not a named entity
"he said a proposal last month by eu farm commissioner franz fischler to ban sheep brains , spleens and spinal cords from the human and animal food chains was a highly specific and precautionary move to protect human health .",and is not a named entity
fischler proposed eu-wide measures after reports from britain and france that under laboratory conditions sheep could contract bovine spongiform encephalopathy ( bse ) -- mad cow disease .,fischler is a person entity
fischler proposed eu-wide measures after reports from britain and france that under laboratory conditions sheep could contract bovine spongiform encephalopathy ( bse ) -- mad cow disease .,eu-wide is an other entity
fischler proposed eu-wide measures after reports from britain and france that under laboratory conditions sheep could contract bovine spongiform encephalopathy ( bse ) -- mad cow disease .,britain is a location entity
fischler proposed eu-wide measures after reports from britain and france that under laboratory conditions sheep could contract bovine spongiform encephalopathy ( bse ) -- mad cow disease .,france is a location entity
fischler proposed eu-wide measures after reports from britain and france that under laboratory conditions sheep could contract bovine spongiform encephalopathy ( bse ) -- mad cow disease .,bovine spongiform encephalopathy is an other entity
fischler proposed eu-wide measures after reports from britain and france that under laboratory conditions sheep could contract bovine spongiform encephalopathy ( bse ) -- mad cow disease .,bse is an other entity
fischler proposed eu-wide measures after reports from britain and france that under laboratory conditions sheep could contract bovine spongiform encephalopathy ( bse ) -- mad cow disease .,( is not a named entity
fischler proposed eu-wide measures after reports from britain and france that under laboratory conditions sheep could contract bovine spongiform encephalopathy ( bse ) -- mad cow disease .,mad is not a named entity
fischler proposed eu-wide measures after reports from britain and france that under laboratory conditions sheep could contract bovine spongiform encephalopathy ( bse ) -- mad cow disease .,contract is not a named entity
fischler proposed eu-wide measures after reports from britain and france that under laboratory conditions sheep could contract bovine spongiform encephalopathy ( bse ) -- mad cow disease .,sheep is not a named entity
fischler proposed eu-wide measures after reports from britain and france that under laboratory conditions sheep could contract bovine spongiform encephalopathy ( bse ) -- mad cow disease .,after reports from is not a named entity
fischler proposed eu-wide measures after reports from britain and france that under laboratory conditions sheep could contract bovine spongiform encephalopathy ( bse ) -- mad cow disease .,conditions is not a named entity
fischler proposed eu-wide measures after reports from britain and france that under laboratory conditions sheep could contract bovine spongiform encephalopathy ( bse ) -- mad cow disease .,could is not a named entity
fischler proposed eu-wide measures after reports from britain and france that under laboratory conditions sheep could contract bovine spongiform encephalopathy ( bse ) -- mad cow disease .,proposed is not a named entity
"but fischler agreed to review his proposal after the eu 's standing veterinary committee , mational animal health officials , questioned if such action was justified as there was only a slight risk to human health .",fischler is a person entity
"but fischler agreed to review his proposal after the eu 's standing veterinary committee , mational animal health officials , questioned if such action was justified as there was only a slight risk to human health .",eu is an organization entity
"but fischler agreed to review his proposal after the eu 's standing veterinary committee , mational animal health officials , questioned if such action was justified as there was only a slight risk to human health .",questioned is not a named entity
"but fischler agreed to review his proposal after the eu 's standing veterinary committee , mational animal health officials , questioned if such action was justified as there was only a slight risk to human health .",. is not a named entity
"but fischler agreed to review his proposal after the eu 's standing veterinary committee , mational animal health officials , questioned if such action was justified as there was only a slight risk to human health .",", is not a named entity"
"spanish farm minister loyola de palacio had earlier accused fischler at an eu farm ministers ' meeting of causing unjustified alarm through "" dangerous generalisation . """,spanish is an other entity
"spanish farm minister loyola de palacio had earlier accused fischler at an eu farm ministers ' meeting of causing unjustified alarm through "" dangerous generalisation . """,loyola de palacio is a person entity
"spanish farm minister loyola de palacio had earlier accused fischler at an eu farm ministers ' meeting of causing unjustified alarm through "" dangerous generalisation . """,fischler is a person entity
"spanish farm minister loyola de palacio had earlier accused fischler at an eu farm ministers ' meeting of causing unjustified alarm through "" dangerous generalisation . """,eu is an organization entity
"spanish farm minister loyola de palacio had earlier accused fischler at an eu farm ministers ' meeting of causing unjustified alarm through "" dangerous generalisation . """,accused fischler at is not a named entity
"spanish farm minister loyola de palacio had earlier accused fischler at an eu farm ministers ' meeting of causing unjustified alarm through "" dangerous generalisation . """,. is not a named entity
"spanish farm minister loyola de palacio had earlier accused fischler at an eu farm ministers ' meeting of causing unjustified alarm through "" dangerous generalisation . """,de is not a named entity
"spanish farm minister loyola de palacio had earlier accused fischler at an eu farm ministers ' meeting of causing unjustified alarm through "" dangerous generalisation . """,earlier is not a named entity
only france and britain backed fischler 's proposal .,france is a location entity
only france and britain backed fischler 's proposal .,britain is a location entity
only france and britain backed fischler 's proposal .,fischler is a person entity
only france and britain backed fischler 's proposal .,proposal is not a named entity
only france and britain backed fischler 's proposal .,. is not a named entity
only france and britain backed fischler 's proposal .,. is not a named entity
the eu 's scientific veterinary and multidisciplinary committees are due to re-examine the issue early next month and make recommendations to the senior veterinary officials .,eu is an organization entity
the eu 's scientific veterinary and multidisciplinary committees are due to re-examine the issue early next month and make recommendations to the senior veterinary officials .,committees is not a named entity
"sheep have long been known to contract scrapie , a brain-wasting disease similar to bse which is believed to have been transferred to cattle through feed containing animal waste .",bse is an other entity
"british farmers denied on thursday there was any danger to human health from their sheep , but expressed concern that german government advice to consumers to avoid british lamb might influence consumers across europe .",british is an other entity
"british farmers denied on thursday there was any danger to human health from their sheep , but expressed concern that german government advice to consumers to avoid british lamb might influence consumers across europe .",german is an other entity
"british farmers denied on thursday there was any danger to human health from their sheep , but expressed concern that german government advice to consumers to avoid british lamb might influence consumers across europe .",europe is a location entity
"british farmers denied on thursday there was any danger to human health from their sheep , but expressed concern that german government advice to consumers to avoid british lamb might influence consumers across europe .",farmers is not a named entity
"british farmers denied on thursday there was any danger to human health from their sheep , but expressed concern that german government advice to consumers to avoid british lamb might influence consumers across europe .",farmers is not a named entity
"british farmers denied on thursday there was any danger to human health from their sheep , but expressed concern that german government advice to consumers to avoid british lamb might influence consumers across europe .",", is not a named entity"
"british farmers denied on thursday there was any danger to human health from their sheep , but expressed concern that german government advice to consumers to avoid british lamb might influence consumers across europe .",thursday is not a named entity
"british farmers denied on thursday there was any danger to human health from their sheep , but expressed concern that german government advice to consumers to avoid british lamb might influence consumers across europe .",to is not a named entity
""" what we have to be extremely careful of is how other countries are going to take germany 's lead , "" welsh national farmers ' union ( nfu ) chairman john lloyd jones said on bbc radio .",germany is a location entity
""" what we have to be extremely careful of is how other countries are going to take germany 's lead , "" welsh national farmers ' union ( nfu ) chairman john lloyd jones said on bbc radio .",welsh national farmers ' union is an organization entity
""" what we have to be extremely careful of is how other countries are going to take germany 's lead , "" welsh national farmers ' union ( nfu ) chairman john lloyd jones said on bbc radio .",nfu is an organization entity
""" what we have to be extremely careful of is how other countries are going to take germany 's lead , "" welsh national farmers ' union ( nfu ) chairman john lloyd jones said on bbc radio .",john lloyd jones is a person entity
""" what we have to be extremely careful of is how other countries are going to take germany 's lead , "" welsh national farmers ' union ( nfu ) chairman john lloyd jones said on bbc radio .",bbc radio is an organization entity
""" what we have to be extremely careful of is how other countries are going to take germany 's lead , "" welsh national farmers ' union ( nfu ) chairman john lloyd jones said on bbc radio .",said is not a named entity
""" what we have to be extremely careful of is how other countries are going to take germany 's lead , "" welsh national farmers ' union ( nfu ) chairman john lloyd jones said on bbc radio .",on bbc radio . is not a named entity
""" what we have to be extremely careful of is how other countries are going to take germany 's lead , "" welsh national farmers ' union ( nfu ) chairman john lloyd jones said on bbc radio .",farmers is not a named entity
""" what we have to be extremely careful of is how other countries are going to take germany 's lead , "" welsh national farmers ' union ( nfu ) chairman john lloyd jones said on bbc radio .",careful of is is not a named entity
""" what we have to be extremely careful of is how other countries are going to take germany 's lead , "" welsh national farmers ' union ( nfu ) chairman john lloyd jones said on bbc radio .",. is not a named entity
""" what we have to be extremely careful of is how other countries are going to take germany 's lead , "" welsh national farmers ' union ( nfu ) chairman john lloyd jones said on bbc radio .",( is not a named entity
""" what we have to be extremely careful of is how other countries are going to take germany 's lead , "" welsh national farmers ' union ( nfu ) chairman john lloyd jones said on bbc radio .",other countries are going to is not a named entity
""" what we have to be extremely careful of is how other countries are going to take germany 's lead , "" welsh national farmers ' union ( nfu ) chairman john lloyd jones said on bbc radio .",of is not a named entity
""" what we have to be extremely careful of is how other countries are going to take germany 's lead , "" welsh national farmers ' union ( nfu ) chairman john lloyd jones said on bbc radio .",chairman john lloyd is not a named entity
bonn has led efforts to protect public health after consumer confidence collapsed in march after a british report suggested humans could contract an illness similar to mad cow disease by eating contaminated beef .,bonn is a location entity
bonn has led efforts to protect public health after consumer confidence collapsed in march after a british report suggested humans could contract an illness similar to mad cow disease by eating contaminated beef .,british is an other entity
bonn has led efforts to protect public health after consumer confidence collapsed in march after a british report suggested humans could contract an illness similar to mad cow disease by eating contaminated beef .,by is not a named entity
bonn has led efforts to protect public health after consumer confidence collapsed in march after a british report suggested humans could contract an illness similar to mad cow disease by eating contaminated beef .,report is not a named entity
bonn has led efforts to protect public health after consumer confidence collapsed in march after a british report suggested humans could contract an illness similar to mad cow disease by eating contaminated beef .,has is not a named entity
"germany imported 47,600 sheep from britain last year , nearly half of total imports .",germany is a location entity
"germany imported 47,600 sheep from britain last year , nearly half of total imports .",britain is a location entity
"germany imported 47,600 sheep from britain last year , nearly half of total imports .",. is not a named entity
"germany imported 47,600 sheep from britain last year , nearly half of total imports .",of is not a named entity
"germany imported 47,600 sheep from britain last year , nearly half of total imports .",", is not a named entity"
"it brought in 4,275 tonnes of british mutton , some 10 percent of overall imports .",british is an other entity
"it brought in 4,275 tonnes of british mutton , some 10 percent of overall imports .",tonnes is not a named entity
"rare hendrix song draft sells for almost $ 17,000 .",hendrix is a person entity
"rare hendrix song draft sells for almost $ 17,000 .",song is not a named entity
london 1996-08-22,london is a location entity
"a rare early handwritten draft of a song by u.s. guitar legend jimi hendrix was sold for almost $ 17,000 on thursday at an auction of some of the late musician 's favourite possessions .",u.s. is a location entity
"a rare early handwritten draft of a song by u.s. guitar legend jimi hendrix was sold for almost $ 17,000 on thursday at an auction of some of the late musician 's favourite possessions .",jimi hendrix is a person entity
"a rare early handwritten draft of a song by u.s. guitar legend jimi hendrix was sold for almost $ 17,000 on thursday at an auction of some of the late musician 's favourite possessions .",at is not a named entity
"a rare early handwritten draft of a song by u.s. guitar legend jimi hendrix was sold for almost $ 17,000 on thursday at an auction of some of the late musician 's favourite possessions .",guitar legend is not a named entity
"a rare early handwritten draft of a song by u.s. guitar legend jimi hendrix was sold for almost $ 17,000 on thursday at an auction of some of the late musician 's favourite possessions .",song is not a named entity
"a florida restaurant paid 10,925 pounds ( $ 16,935 ) for the draft of "" ai n't no telling "" , which hendrix penned on a piece of london hotel stationery in late 1966 .",florida is a location entity
"a florida restaurant paid 10,925 pounds ( $ 16,935 ) for the draft of "" ai n't no telling "" , which hendrix penned on a piece of london hotel stationery in late 1966 .",ai n't no telling is an other entity
"a florida restaurant paid 10,925 pounds ( $ 16,935 ) for the draft of "" ai n't no telling "" , which hendrix penned on a piece of london hotel stationery in late 1966 .",hendrix is a person entity
"a florida restaurant paid 10,925 pounds ( $ 16,935 ) for the draft of "" ai n't no telling "" , which hendrix penned on a piece of london hotel stationery in late 1966 .",london is a location entity
"a florida restaurant paid 10,925 pounds ( $ 16,935 ) for the draft of "" ai n't no telling "" , which hendrix penned on a piece of london hotel stationery in late 1966 .",", is not a named entity"
"a florida restaurant paid 10,925 pounds ( $ 16,935 ) for the draft of "" ai n't no telling "" , which hendrix penned on a piece of london hotel stationery in late 1966 .",on a piece of is not a named entity
"a florida restaurant paid 10,925 pounds ( $ 16,935 ) for the draft of "" ai n't no telling "" , which hendrix penned on a piece of london hotel stationery in late 1966 .",paid is not a named entity
"a florida restaurant paid 10,925 pounds ( $ 16,935 ) for the draft of "" ai n't no telling "" , which hendrix penned on a piece of london hotel stationery in late 1966 .",in is not a named entity
"a florida restaurant paid 10,925 pounds ( $ 16,935 ) for the draft of "" ai n't no telling "" , which hendrix penned on a piece of london hotel stationery in late 1966 .",the is not a named entity
"a florida restaurant paid 10,925 pounds ( $ 16,935 ) for the draft of "" ai n't no telling "" , which hendrix penned on a piece of london hotel stationery in late 1966 .",. is not a named entity
"a florida restaurant paid 10,925 pounds ( $ 16,935 ) for the draft of "" ai n't no telling "" , which hendrix penned on a piece of london hotel stationery in late 1966 .",n't is not a named entity
"at the end of a january 1967 concert in the english city of nottingham he threw the sheet of paper into the audience , where it was retrieved by a fan .",english is an other entity
"at the end of a january 1967 concert in the english city of nottingham he threw the sheet of paper into the audience , where it was retrieved by a fan .",nottingham is a location entity
"at the end of a january 1967 concert in the english city of nottingham he threw the sheet of paper into the audience , where it was retrieved by a fan .",audience is not a named entity
"at the end of a january 1967 concert in the english city of nottingham he threw the sheet of paper into the audience , where it was retrieved by a fan .",threw is not a named entity
"at the end of a january 1967 concert in the english city of nottingham he threw the sheet of paper into the audience , where it was retrieved by a fan .",january is not a named entity
"buyers also snapped up 16 other items that were put up for auction by hendrix 's former girlfriend kathy etchingham , who lived with him from 1966 to 1969 .",hendrix is a person entity
"buyers also snapped up 16 other items that were put up for auction by hendrix 's former girlfriend kathy etchingham , who lived with him from 1966 to 1969 .",kathy etchingham is a person entity
"buyers also snapped up 16 other items that were put up for auction by hendrix 's former girlfriend kathy etchingham , who lived with him from 1966 to 1969 .",former is not a named entity
"buyers also snapped up 16 other items that were put up for auction by hendrix 's former girlfriend kathy etchingham , who lived with him from 1966 to 1969 .",were put is not a named entity
"buyers also snapped up 16 other items that were put up for auction by hendrix 's former girlfriend kathy etchingham , who lived with him from 1966 to 1969 .",by is not a named entity
"they included a black lacquer and mother of pearl inlaid box used by hendrix to store his drugs , which an anonymous australian purchaser bought for 5,060 pounds ( $ 7,845 ) .",hendrix is a person entity
"they included a black lacquer and mother of pearl inlaid box used by hendrix to store his drugs , which an anonymous australian purchaser bought for 5,060 pounds ( $ 7,845 ) .",australian is an other entity
"they included a black lacquer and mother of pearl inlaid box used by hendrix to store his drugs , which an anonymous australian purchaser bought for 5,060 pounds ( $ 7,845 ) .",) is not a named entity
"they included a black lacquer and mother of pearl inlaid box used by hendrix to store his drugs , which an anonymous australian purchaser bought for 5,060 pounds ( $ 7,845 ) .",and is not a named entity
"they included a black lacquer and mother of pearl inlaid box used by hendrix to store his drugs , which an anonymous australian purchaser bought for 5,060 pounds ( $ 7,845 ) .",used is not a named entity
china says taiwan spoils atmosphere for talks .,china is a location entity
china says taiwan spoils atmosphere for talks .,taiwan is a location entity
china says taiwan spoils atmosphere for talks .,. is not a named entity
china says taiwan spoils atmosphere for talks .,says is not a named entity
beijing 1996-08-22,beijing is a location entity
china on thursday accused taipei of spoiling the atmosphere for a resumption of talks across the taiwan strait with a visit to ukraine by taiwanese vice president lien chan this week that infuriated beijing .,china is a location entity
china on thursday accused taipei of spoiling the atmosphere for a resumption of talks across the taiwan strait with a visit to ukraine by taiwanese vice president lien chan this week that infuriated beijing .,taipei is a location entity
china on thursday accused taipei of spoiling the atmosphere for a resumption of talks across the taiwan strait with a visit to ukraine by taiwanese vice president lien chan this week that infuriated beijing .,taiwan strait is a location entity
china on thursday accused taipei of spoiling the atmosphere for a resumption of talks across the taiwan strait with a visit to ukraine by taiwanese vice president lien chan this week that infuriated beijing .,ukraine is a location entity
china on thursday accused taipei of spoiling the atmosphere for a resumption of talks across the taiwan strait with a visit to ukraine by taiwanese vice president lien chan this week that infuriated beijing .,taiwanese is an other entity
china on thursday accused taipei of spoiling the atmosphere for a resumption of talks across the taiwan strait with a visit to ukraine by taiwanese vice president lien chan this week that infuriated beijing .,lien chan is a person entity
china on thursday accused taipei of spoiling the atmosphere for a resumption of talks across the taiwan strait with a visit to ukraine by taiwanese vice president lien chan this week that infuriated beijing .,beijing is a location entity
china on thursday accused taipei of spoiling the atmosphere for a resumption of talks across the taiwan strait with a visit to ukraine by taiwanese vice president lien chan this week that infuriated beijing .,talks is not a named entity
china on thursday accused taipei of spoiling the atmosphere for a resumption of talks across the taiwan strait with a visit to ukraine by taiwanese vice president lien chan this week that infuriated beijing .,that is not a named entity
china on thursday accused taipei of spoiling the atmosphere for a resumption of talks across the taiwan strait with a visit to ukraine by taiwanese vice president lien chan this week that infuriated beijing .,on is not a named entity
china on thursday accused taipei of spoiling the atmosphere for a resumption of talks across the taiwan strait with a visit to ukraine by taiwanese vice president lien chan this week that infuriated beijing .,strait with is not a named entity
china on thursday accused taipei of spoiling the atmosphere for a resumption of talks across the taiwan strait with a visit to ukraine by taiwanese vice president lien chan this week that infuriated beijing .,president is not a named entity
china on thursday accused taipei of spoiling the atmosphere for a resumption of talks across the taiwan strait with a visit to ukraine by taiwanese vice president lien chan this week that infuriated beijing .,of is not a named entity
china on thursday accused taipei of spoiling the atmosphere for a resumption of talks across the taiwan strait with a visit to ukraine by taiwanese vice president lien chan this week that infuriated beijing .,infuriated beijing is not a named entity
china on thursday accused taipei of spoiling the atmosphere for a resumption of talks across the taiwan strait with a visit to ukraine by taiwanese vice president lien chan this week that infuriated beijing .,talks is not a named entity
china on thursday accused taipei of spoiling the atmosphere for a resumption of talks across the taiwan strait with a visit to ukraine by taiwanese vice president lien chan this week that infuriated beijing .,by is not a named entity
"speaking only hours after chinese state media said the time was right to engage in political talks with taiwan , foreign ministry spokesman shen guofang told reuters : "" the necessary atmosphere for the opening of the talks has been disrupted by the taiwan authorities . """,chinese is an other entity
"speaking only hours after chinese state media said the time was right to engage in political talks with taiwan , foreign ministry spokesman shen guofang told reuters : "" the necessary atmosphere for the opening of the talks has been disrupted by the taiwan authorities . """,taiwan is a location entity
"speaking only hours after chinese state media said the time was right to engage in political talks with taiwan , foreign ministry spokesman shen guofang told reuters : "" the necessary atmosphere for the opening of the talks has been disrupted by the taiwan authorities . """,foreign ministry is an organization entity
"speaking only hours after chinese state media said the time was right to engage in political talks with taiwan , foreign ministry spokesman shen guofang told reuters : "" the necessary atmosphere for the opening of the talks has been disrupted by the taiwan authorities . """,shen guofang is a person entity
"speaking only hours after chinese state media said the time was right to engage in political talks with taiwan , foreign ministry spokesman shen guofang told reuters : "" the necessary atmosphere for the opening of the talks has been disrupted by the taiwan authorities . """,reuters is an organization entity
"speaking only hours after chinese state media said the time was right to engage in political talks with taiwan , foreign ministry spokesman shen guofang told reuters : "" the necessary atmosphere for the opening of the talks has been disrupted by the taiwan authorities . """,been is not a named entity
"speaking only hours after chinese state media said the time was right to engage in political talks with taiwan , foreign ministry spokesman shen guofang told reuters : "" the necessary atmosphere for the opening of the talks has been disrupted by the taiwan authorities . """,of is not a named entity
"speaking only hours after chinese state media said the time was right to engage in political talks with taiwan , foreign ministry spokesman shen guofang told reuters : "" the necessary atmosphere for the opening of the talks has been disrupted by the taiwan authorities . """,for the is not a named entity
"speaking only hours after chinese state media said the time was right to engage in political talks with taiwan , foreign ministry spokesman shen guofang told reuters : "" the necessary atmosphere for the opening of the talks has been disrupted by the taiwan authorities . """,guofang told is not a named entity
"speaking only hours after chinese state media said the time was right to engage in political talks with taiwan , foreign ministry spokesman shen guofang told reuters : "" the necessary atmosphere for the opening of the talks has been disrupted by the taiwan authorities . """,spokesman is not a named entity
"speaking only hours after chinese state media said the time was right to engage in political talks with taiwan , foreign ministry spokesman shen guofang told reuters : "" the necessary atmosphere for the opening of the talks has been disrupted by the taiwan authorities . """,with is not a named entity
"speaking only hours after chinese state media said the time was right to engage in political talks with taiwan , foreign ministry spokesman shen guofang told reuters : "" the necessary atmosphere for the opening of the talks has been disrupted by the taiwan authorities . """,": "" is not a named entity"
"speaking only hours after chinese state media said the time was right to engage in political talks with taiwan , foreign ministry spokesman shen guofang told reuters : "" the necessary atmosphere for the opening of the talks has been disrupted by the taiwan authorities . """,right to is not a named entity
"state media quoted china 's top negotiator with taipei , tang shubei , as telling a visiting group from taiwan on wednesday that it was time for the rivals to hold political talks .",china is a location entity
"state media quoted china 's top negotiator with taipei , tang shubei , as telling a visiting group from taiwan on wednesday that it was time for the rivals to hold political talks .",taipei is a location entity
"state media quoted china 's top negotiator with taipei , tang shubei , as telling a visiting group from taiwan on wednesday that it was time for the rivals to hold political talks .",tang shubei is a person entity
"state media quoted china 's top negotiator with taipei , tang shubei , as telling a visiting group from taiwan on wednesday that it was time for the rivals to hold political talks .",taiwan is a location entity
"state media quoted china 's top negotiator with taipei , tang shubei , as telling a visiting group from taiwan on wednesday that it was time for the rivals to hold political talks .",. is not a named entity
"state media quoted china 's top negotiator with taipei , tang shubei , as telling a visiting group from taiwan on wednesday that it was time for the rivals to hold political talks .",", is not a named entity"
"state media quoted china 's top negotiator with taipei , tang shubei , as telling a visiting group from taiwan on wednesday that it was time for the rivals to hold political talks .",state media is not a named entity
"state media quoted china 's top negotiator with taipei , tang shubei , as telling a visiting group from taiwan on wednesday that it was time for the rivals to hold political talks .",it is not a named entity
"state media quoted china 's top negotiator with taipei , tang shubei , as telling a visiting group from taiwan on wednesday that it was time for the rivals to hold political talks .",was is not a named entity
"state media quoted china 's top negotiator with taipei , tang shubei , as telling a visiting group from taiwan on wednesday that it was time for the rivals to hold political talks .",from is not a named entity
"state media quoted china 's top negotiator with taipei , tang shubei , as telling a visiting group from taiwan on wednesday that it was time for the rivals to hold political talks .",", tang is not a named entity"
"that is to end the state of hostility , "" thursday 's overseas edition of the people 's daily quoted tang as saying .",people 's daily is an organization entity
"that is to end the state of hostility , "" thursday 's overseas edition of the people 's daily quoted tang as saying .",tang is a person entity
"that is to end the state of hostility , "" thursday 's overseas edition of the people 's daily quoted tang as saying .",saying . is not a named entity
"that is to end the state of hostility , "" thursday 's overseas edition of the people 's daily quoted tang as saying .",", is not a named entity"
"that is to end the state of hostility , "" thursday 's overseas edition of the people 's daily quoted tang as saying .","hostility , "" is not a named entity"
"the foreign ministry 's shen told reuters television in an interview he had read reports of tang 's comments but gave no details of why the negotiator had considered the time right for talks with taiwan , which beijing considers a renegade province .",shen is an organization entity
"the foreign ministry 's shen told reuters television in an interview he had read reports of tang 's comments but gave no details of why the negotiator had considered the time right for talks with taiwan , which beijing considers a renegade province .",reuters television is an organization entity
"the foreign ministry 's shen told reuters television in an interview he had read reports of tang 's comments but gave no details of why the negotiator had considered the time right for talks with taiwan , which beijing considers a renegade province .",tang is a person entity
"the foreign ministry 's shen told reuters television in an interview he had read reports of tang 's comments but gave no details of why the negotiator had considered the time right for talks with taiwan , which beijing considers a renegade province .",taiwan is a location entity
"the foreign ministry 's shen told reuters television in an interview he had read reports of tang 's comments but gave no details of why the negotiator had considered the time right for talks with taiwan , which beijing considers a renegade province .",beijing is a location entity
"the foreign ministry 's shen told reuters television in an interview he had read reports of tang 's comments but gave no details of why the negotiator had considered the time right for talks with taiwan , which beijing considers a renegade province .",", is not a named entity"
"the foreign ministry 's shen told reuters television in an interview he had read reports of tang 's comments but gave no details of why the negotiator had considered the time right for talks with taiwan , which beijing considers a renegade province .",the foreign is not a named entity
"the foreign ministry 's shen told reuters television in an interview he had read reports of tang 's comments but gave no details of why the negotiator had considered the time right for talks with taiwan , which beijing considers a renegade province .",an is not a named entity
"the foreign ministry 's shen told reuters television in an interview he had read reports of tang 's comments but gave no details of why the negotiator had considered the time right for talks with taiwan , which beijing considers a renegade province .",the is not a named entity
"the foreign ministry 's shen told reuters television in an interview he had read reports of tang 's comments but gave no details of why the negotiator had considered the time right for talks with taiwan , which beijing considers a renegade province .",'s is not a named entity
"the foreign ministry 's shen told reuters television in an interview he had read reports of tang 's comments but gave no details of why the negotiator had considered the time right for talks with taiwan , which beijing considers a renegade province .",had is not a named entity
"the foreign ministry 's shen told reuters television in an interview he had read reports of tang 's comments but gave no details of why the negotiator had considered the time right for talks with taiwan , which beijing considers a renegade province .",province is not a named entity
"the foreign ministry 's shen told reuters television in an interview he had read reports of tang 's comments but gave no details of why the negotiator had considered the time right for talks with taiwan , which beijing considers a renegade province .",renegade is not a named entity
"china , which has long opposed all taipei efforts to gain greater international recognition , was infuriated by a visit to ukraine this week by taiwanese vice president lien .",china is a location entity
